,0,1
532,205,207
533,205,111
534,205,110
535,205,163
536,205,127
537,205,153
538,205,158
539,205,167
540,205,208
541,205,191
542,205,209
543,206,151
544,206,152
545,206,111
546,206,163
547,206,127
548,206,153
549,206,158
550,206,193
551,206,169
552,206,210
553,206,211
554,206,191
555,157,212
556,157,213
557,157,68
558,157,99
559,157,119
560,157,122
561,157,190
562,157,127
563,157,154
564,212,99
565,212,119
566,212,163
567,212,214
568,212,154
569,212,215
570,188,152
571,188,190
572,188,153
573,188,216
574,188,170
575,188,191
576,188,217
577,189,151
578,189,188
579,189,189
580,189,152
581,189,190
582,189,153
583,189,166
584,189,171
585,189,218
586,189,219
587,189,191
588,189,220
589,221,222
590,221,223
591,221,224
592,221,225
593,221,163
594,221,153
595,221,165
596,221,172
597,221,226
598,221,227
599,221,228
600,221,229
601,221,230
602,221,231
603,221,178
604,221,232
605,222,151
606,222,233
607,222,224
608,222,234
609,222,71
610,222,109
611,222,207
612,222,163
613,222,158
614,222,235
615,222,236
616,222,220
617,222,172
618,222,226
619,222,237
620,222,227
621,222,228
622,222,238
623,222,239
624,222,240
625,222,230
626,222,176
627,222,209
628,222,241
629,222,177
630,222,232
631,222,217
632,223,159
633,223,233
634,223,224
635,223,71
636,223,242
637,223,207
638,223,226
639,223,227
640,223,229
641,223,243
642,223,244
643,223,230
644,223,176
645,223,245
646,223,246
647,223,231
648,223,247
649,223,178
650,223,248
651,233,224
652,233,234
653,233,68
654,233,71
655,233,242
656,233,207
657,233,249
658,233,226
659,233,250
660,233,238
661,233,243
662,233,240
663,233,230
664,233,176
665,233,245
666,233,241
667,233,177
668,233,251
669,233,232
670,233,252
671,224,224
672,224,234
673,224,115
674,224,160
675,224,161
676,224,207
677,224,74
678,224,236
679,224,196
680,224,194
681,224,253
682,224,254
683,224,255
684,224,256
685,224,227
686,224,228
687,224,257
688,224,250
689,224,243
690,224,244
691,224,239
692,224,258
693,224,259
694,224,260
695,224,230
696,224,176
697,224,261
698,224,262
699,224,263
700,224,264
701,224,265
702,224,266
703,234,242
704,234,161
705,234,207
706,234,236
707,234,267
708,234,196
709,234,249
710,234,268
711,234,191
712,234,269
713,234,270
714,234,256
715,234,271
716,234,227
717,234,228
718,234,272
719,234,243
720,234,244
721,234,259
722,234,273
723,234,230
724,234,176
725,234,209
726,234,274
727,234,275
728,276,277
729,276,278
730,276,279
731,276,69
732,280,281
733,280,282
734,280,283
735,280,213
736,280,89
737,280,101
738,280,284
739,280,285
740,280,286
741,280,287
742,280,288
743,289,67
744,289,97
745,289,213
746,289,290
747,289,278
748,289,286
749,289,291
750,289,93
751,124,292
752,124,282
753,124,293
754,124,125
755,124,294
756,124,213
757,124,295
758,124,94
759,124,89
760,124,278
761,124,285
762,124,291
763,124,103
764,296,97
765,296,297
766,296,92
767,296,279
768,296,298
769,296,285
770,296,286
771,296,287
772,296,288
773,296,299
774,300,183
775,300,294
776,300,213
777,300,101
778,300,301
779,300,285
780,300,286
781,300,287
782,113,121
783,113,67
784,113,277
785,113,302
786,113,122
787,113,278
788,113,199
789,113,127
790,113,303
791,113,304
792,113,135
793,113,102
794,113,133
795,113,305
796,182,282
797,182,283
798,182,94
799,182,89
800,182,278
801,182,199
802,182,101
803,182,284
804,182,303
805,182,138
806,182,306
807,182,307
808,180,296
809,180,97
810,180,297
811,180,213
812,180,89
813,180,278
814,180,127
815,180,279
816,180,298
817,180,154
818,180,303
819,180,304
820,180,142
821,180,308
822,180,309
823,180,310
824,180,58
825,183,62
826,183,123
827,183,292
828,183,293
829,183,294
830,183,152
831,183,94
832,183,89
833,183,278
834,183,199
835,183,126
836,183,101
837,183,301
838,183,311
839,183,303
840,183,304
841,183,132
842,183,312
843,183,138
844,183,313
845,183,186
846,314,315
847,316,317
848,318,58
849,319,277
850,319,302
851,319,297
852,319,82
853,319,126
854,319,320
855,319,321
856,319,291
857,319,322
858,319,135
859,319,132
860,319,136
861,292,182
862,292,125
863,292,294
864,292,94
865,292,119
866,292,199
867,292,286
868,292,311
869,292,291
870,292,141
871,292,312
872,67,276
873,67,67
874,67,277
875,67,278
876,67,311
877,67,102
878,67,323
879,282,213
880,282,89
881,282,278
882,282,95
883,282,101
884,282,320
885,282,141
886,282,324
887,97,297
888,97,89
889,97,141
890,97,303
891,97,325
892,293,300
893,293,294
894,293,278
895,293,286
896,293,322
897,293,103
898,293,326
899,277,279
900,277,322
901,277,327
902,277,328
903,277,329
904,283,125
905,283,101
906,283,141
907,283,330
908,283,315
909,283,306
910,302,320
911,302,321
912,302,291
913,302,322
914,302,304
915,302,329
916,302,331
917,302,305
918,302,332
919,302,333
920,302,334
921,302,335
922,302,336
923,302,337
924,125,94
925,125,320
926,125,311
927,125,322
928,125,141
929,125,303
930,125,306
931,125,215
932,125,307
933,297,99
934,297,91
935,297,92
936,297,279
937,297,320
938,297,332
939,297,333
940,297,335
941,297,336
942,294,101
943,294,286
944,294,311
945,294,312
946,338,61
947,338,118
948,338,183
949,338,100
950,338,339
951,338,313
952,105,52
953,105,180
954,105,79
955,105,55
956,105,99
957,105,56
958,105,92
959,105,199
960,105,58
961,54,66
962,54,180
963,54,55
964,54,56
965,54,89
966,54,317
967,90,70
968,90,123
969,90,64
970,90,91
971,213,118
972,213,151
973,213,296
974,213,113
975,213,182
976,213,183
977,213,67
978,213,293
979,213,125
980,213,213
981,213,79
982,213,87
983,213,100
984,213,81
985,213,88
986,213,197
987,213,94
988,213,92
989,213,95
990,213,199
991,213,101
992,213,301
993,213,288
994,213,312
995,213,58
996,213,313
997,290,113
998,290,319
999,290,286
1000,290,311
1001,290,321
1002,295,182
1003,295,73
1004,201,85
1005,201,100
1006,201,81
1007,201,88
1008,201,119
1009,201,92
1010,201,95
1011,201,199
1012,79,201
1013,79,80
1014,79,81
1015,79,88
1016,79,82
1017,79,92
1018,79,95
1019,79,299
1020,87,84
1021,87,85
1022,87,64
1023,87,88
1024,87,94
1025,87,95
1026,87,326
